Country,Year,GDP,Quantile_Bin
Kenya,1979,7.61522604591983,Below 90th %ile
Kenya,1978,6.91249354626197,Below 90th %ile
Kenya,1977,9.45379784408087,95th-98th %ile
Kenya,1976,2.15396450322561,Below 90th %ile
Kenya,1975,0.882203175319148,Below 90th %ile
Kenya,1974,4.06561734893735,Below 90th %ile
Kenya,1973,5.89658021016672,Below 90th %ile
Kenya,1972,4.631794851665724,Below 90th %ile
Kenya,1971,4.631794851665724,Below 90th %ile
Kenya,1970,-4.65544691647621,Below 90th %ile
Kenya,1969,7.9592244594956,Below 90th %ile
Kenya,1968,7.9826899693479,90th-95th %ile
Kenya,1967,3.36123203258556,Below 90th %ile
Kenya,1966,14.7285664015687,Top 1%
Kenya,1965,2.00909417103099,Below 90th %ile
Kenya,1964,4.96446728844091,Below 90th %ile
Kenya,1963,8.77834021621184,90th-95th %ile
Kenya,1962,9.45735874072126,95th-98th %ile
Kenya,1961,-7.77463490371655,Below 90th %ile
Kenya,1960,4.631794851665724,Below 90th %ile
Nigeria,2024,4.06236408888319,Below 90th %ile
Nigeria,2023,3.32684556421316,Below 90th %ile
Nigeria,2022,4.31882949523192,Below 90th %ile
Nigeria,2021,1.10925253938163,Below 90th %ile
Nigeria,2020,-6.36889840510109,Below 90th %ile
Nigeria,2019,2.20842927714892,Below 90th %ile
Nigeria,2018,1.92275734200614,Below 90th %ile
Nigeria,2017,0.805886619102438,Below 90th %ile
Nigeria,2016,-1.61686894906509,Below 90th %ile
Nigeria,2015,2.65269329543001,Below 90th %ile
Nigeria,2014,6.30971865525431,Below 90th %ile
Nigeria,2013,6.67133539306167,Below 90th %ile
Nigeria,2012,4.23006117493223,Below 90th %ile
Nigeria,2011,5.30792420289453,Below 90th %ile
Nigeria,2010,8.00565591628701,90th-95th %ile
Nigeria,2009,8.03692510099023,90th-95th %ile
Nigeria,2008,6.76447277780228,Below 90th %ile
Nigeria,2007,6.59113036068679,Below 90th %ile
Nigeria,2006,6.05942803202906,Below 90th %ile
Nigeria,2005,6.43851652538348,Below 90th %ile
Nigeria,2004,9.2505582291798,95th-98th %ile
Nigeria,2003,7.34719496799492,Below 90th %ile
Nigeria,2002,15.3291557409559,Top 1%
